MAX (product_name),orderid,category_name,quantity,country_region
Alice Mutton,10265,Meat/Poultry,30,Europe
Alice Mutton,10279,Meat/Poultry,15,Europe
Alice Mutton,10294,Meat/Poultry,15,North America
Alice Mutton,10302,Meat/Poultry,40,Europe
Alice Mutton,10319,Meat/Poultry,8,Latin America
Alice Mutton,10338,Meat/Poultry,20,North America
Alice Mutton,10339,Meat/Poultry,70,North America
Alice Mutton,10346,Meat/Poultry,36,North America
Alice Mutton,10415,Meat/Poultry,2,North America
Alice Mutton,10430,Meat/Poultry,45,Europe
Alice Mutton,10431,Meat/Poultry,50,North America
Alice Mutton,10444,Meat/Poultry,10,Europe
Alice Mutton,10523,Meat/Poultry,25,Europe
Alice Mutton,10530,Meat/Poultry,40,Europe
Alice Mutton,10550,Meat/Poultry,8,Europe
Alice Mutton,10564,Meat/Poultry,16,North America
Alice Mutton,10573,Meat/Poultry,18,Latin America
Alice Mutton,10607,Meat/Poultry,100,North America
Alice Mutton,10686,Meat/Poultry,30,Europe
Alice Mutton,10696,Meat/Poultry,20,North America
Alice Mutton,10698,Meat/Poultry,8,Europe
Alice Mutton,10714,Meat/Poultry,27,North America
Alice Mutton,10727,Meat/Poultry,20,Europe
Alice Mutton,10773,Meat/Poultry,33,Europe
Alice Mutton,10795,Meat/Poultry,35,Europe
Alice Mutton,10801,Meat/Poultry,40,Europe
Alice Mutton,10852,Meat/Poultry,6,North America
Alice Mutton,10861,Meat/Poultry,42,North America
Alice Mutton,10871,Meat/Poultry,16,Europe
Alice Mutton,10890,Meat/Poultry,15,Europe
Alice Mutton,10911,Meat/Poultry,12,Europe
Alice Mutton,10922,Meat/Poultry,15,Latin America
Alice Mutton,10949,Meat/Poultry,6,North America
Alice Mutton,10972,Meat/Poultry,6,Europe
Alice Mutton,11059,Meat/Poultry,12,Latin America
Alice Mutton,11064,Meat/Poultry,77,North America
Aniseed Syrup,10289,Condiments,30,Europe
Aniseed Syrup,10405,Condiments,50,Latin America
Aniseed Syrup,10485,Condiments,20,Latin America
Aniseed Syrup,10540,Condiments,60,Europe
Aniseed Syrup,10591,Condiments,14,Europe
Aniseed Syrup,10702,Condiments,6,Europe
Aniseed Syrup,10742,Condiments,20,North America
Aniseed Syrup,10764,Condiments,20,Europe
Aniseed Syrup,10849,Condiments,49,Europe
Aniseed Syrup,10857,Condiments,30,Europe
Aniseed Syrup,11017,Condiments,25,Europe
Aniseed Syrup,11077,Condiments,4,North America
Boston Crab Meat,10267,Seafood,50,Europe
Boston Crab Meat,10273,Seafood,60,Europe
Boston Crab Meat,10285,Seafood,40,Europe
Boston Crab Meat,10301,Seafood,10,Europe
Boston Crab Meat,10303,Seafood,40,Europe
Boston Crab Meat,10347,Seafood,4,Latin America
Boston Crab Meat,10406,Seafood,2,Latin America
Boston Crab Meat,10431,Seafood,50,North America
Boston Crab Meat,10448,Seafood,20,Latin America
Boston Crab Meat,10465,Seafood,20,Europe
Boston Crab Meat,10474,Seafood,21,Latin America
Boston Crab Meat,10482,Seafood,10,North America
Boston Crab Meat,10484,Seafood,10,Europe
Boston Crab Meat,10498,Seafood,5,Latin America
Boston Crab Meat,10522,Seafood,25,Europe
Boston Crab Meat,10525,Seafood,15,Europe
Boston Crab Meat,10535,Seafood,10,Latin America
Boston Crab Meat,10572,Seafood,50,Europe
Boston Crab Meat,10574,Seafood,2,North America
Boston Crab Meat,10607,Seafood,42,North America
Boston Crab Meat,10641,Seafood,60,Latin America
Boston Crab Meat,10658,Seafood,70,Europe
Boston Crab Meat,10659,Seafood,24,Latin America
Boston Crab Meat,10663,Seafood,30,Europe
Boston Crab Meat,10684,Seafood,20,Europe
Boston Crab Meat,10728,Seafood,6,Latin America
Boston Crab Meat,10744,Seafood,50,Europe
Boston Crab Meat,10748,Seafood,40,North America
Boston Crab Meat,10754,Seafood,3,Europe
Boston Crab Meat,10807,Seafood,1,Europe
Boston Crab Meat,10811,Seafood,30,Latin America
Boston Crab Meat,10817,Seafood,60,Europe
Boston Crab Meat,10837,Seafood,25,Europe
Boston Crab Meat,10879,Seafood,12,Europe
Boston Crab Meat,10895,Seafood,91,Europe
Boston Crab Meat,10919,Seafood,20,Latin America
Boston Crab Meat,10978,Seafood,10,Europe
Boston Crab Meat,11003,Seafood,10,North America
Boston Crab Meat,11038,Seafood,5,Europe
Boston Crab Meat,11063,Seafood,40,Europe
Camembert Pierrot,10252,Dairy Products,40,Europe
Camembert Pierrot,10283,Dairy Products,35,Latin America
Camembert Pierrot,10284,Dairy Products,20,Europe
Camembert Pierrot,10294,Dairy Products,21,North America
Camembert Pierrot,10357,Dairy Products,8,Latin America
Camembert Pierrot,10359,Dairy Products,80,Europe
Camembert Pierrot,10361,Dairy Products,55,Europe
Camembert Pierrot,10372,Dairy Products,70,Latin America
Camembert Pierrot,10380,Dairy Products,6,Europe
